title,description
The Great Gatsby,"A story about the mysterious millionaire Jay Gatsby and his passion for the beautiful Daisy Buchanan during the Jazz Age."
Pride and Prejudice,"A classic romantic novel about Elizabeth Bennet as she navigates society, love, and misunderstandings with the proud Mr. Darcy."
1984,"A dystopian novel set in a totalitarian society ruled by Big Brother, exploring themes of surveillance and truth."
To Kill a Mockingbird,"A novel about racism and injustice in the Deep South, seen through the eyes of young Scout Finch."
Jane Eyre,"An orphaned girl becomes a governess and falls in love with her mysterious employer, Mr. Rochester, while uncovering secrets at Thornfield Hall."
Wuthering Heights,"A dark tale of passion and revenge between Catherine and Heathcliff, set on the Yorkshire moors."
Little Women,"The story of the March sisters as they grow up during the Civil War, dealing with love, loss, and ambition."
Brave New World,"A futuristic society driven by technology, genetic engineering, and consumerism is questioned by an outsider."
The Catcher in the Rye,"Holden Caulfield recounts his days in New York City after being expelled from prep school, exploring themes of alienation."
Frankenstein,"A scientist creates a living being, only to face the consequences of playing God in this gothic horror classic."
